Código;Nombre;Fabricante;Modelo;Número de Serial;Patente;Tipo;Clasificación 1;Clasificación 2;Ubicado en ó es Parte de;Formulario Personalizado
CAAL-0002;CAMION ALJIBE;IVECO;MLC 170 E 22;8ATA1NFH0CX078832;CYWH-25;CAMIONES ALJIBE;CAMIONES;2012;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
CAAL-0003;CAMION ALJIBE;VOLVO;FMX 460 6X4;93KXG20DXKE867613;LLXH-10;CAMIONES ALJIBE;CAMIONES;2019;// GRUPO EMI/ CC-0003 - CALAMA/ ;EN PREPARACION OBRA
CAAL-0004;CAMION ALJIBE;VOLVO;FMX 460 6X4;93KXG20D2LE869153;LPRB-66;CAMIONES ALJIBE;CAMIONES;2019;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
CABM-0006;CAMION BOMBA;VOLVO;FMX 500 8X4;93KXG30G1LEB870827;LPCV-58;BOMBAS DE HORMIGON;CAMIONES;2019;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
CABM-0007;CAMION BOMBA ;VOLVO;FMX 500 8X4;93KXG30G0LE868790;LPRB-17;CAMION BOMBA;CAMIONES;2019;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
CAMT-0001;CAMION MANTENCION;MITSUBISHI;CANTER 915;JL6CLH6A3LK000528;LJSG-36;CAMIONES MANTENCION;CAMIONES;2019;// GRUPO EMI/ CC-0003 - CALAMA/ ;OPERATIVO - EN USO
CAMT-0002;CAMION MANTENCION;VOLVO;VM;93KKSNOAOGE157368;LRTC-15;CAMIONES MANTENCION;CAMIONES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
CAPL-0019;CAMION PLUMA;INTERNATIONAL;7600 AT;3HAWYAHT1KL433223;LLXH-23;CAMIONES PLUMA;CAMIONES;2019;// GRUPO EMI/ CC-0003 - CALAMA/ ;FUERA DE SERVICIO - REPARACION - MANTENCION
CAPL-0020;CAMION PLUMA;INTERNATIONAL;7600 AT;3HAWYAHT3KL431604;LLXH-24;CAMIONES PLUMA;CAMIONES;2019;// GRUPO EMI/ CC-0003 - CALAMA/ ;FUERA DE SERVICIO - REPARACION - MANTENCION
CAPL-0021;CAMION PLUMA;INTERNATIONAL;7600 AT;3HTWYAHTXKN650488;LLXH-25;CAMIONES PLUMA;CAMIONES;2019;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
